Year,Income bracket,Tax Rate
1947,0.0,20.0
1947,22082.427536231884,22.0
1947,44164.85507246377,26.0
1947,66247.28260869565,30.0
1947,88329.71014492754,34.0
1947,110412.13768115944,38.0
1947,132494.5652173913,43.0
1947,154576.99275362317,47.0
1947,176659.42028985507,50.0
1947,198741.84782608697,53.0
1947,220824.27536231888,56.0
1947,242906.70289855075,59.0
1947,287071.55797101447,62.0
1947,353318.84057971014,65.0
1947,419566.1231884058,69.0
1947,485813.4057971015,72.0
1947,552060.6884057971,75.0
1947,662472.8260869565,78.0
1947,772884.963768116,81.0
1947,883297.1014492755,84.0
1947,993709.2391304348,87.0
1947,1104121.3768115942,89.0
1947,1656182.0652173914,90.0
1947,2208242.7536231885,91.0
1948,0.0,20.0
1948,20189.648033126294,22.0
1948,40379.29606625259,26.0
1948,60568.94409937888,30.0
1948,80758.59213250517,34.0
1948,100948.24016563148,38.0
1948,121137.88819875776,43.0
1948,141327.53623188406,47.0
1948,161517.18426501035,50.0
1948,181706.83229813664,53.0
1948,201896.48033126295,56.0
1948,222086.12836438924,59.0
1948,262465.4244306418,62.0
1948,323034.3685300207,65.0
1948,383603.3126293996,69.0
1948,444172.2567287785,72.0
1948,504741.2008281574,75.0
1948,605689.4409937888,78.0
1948,706637.6811594203,81.0
1948,807585.9213250518,84.0
1948,908534.1614906833,87.0
1948,1009482.4016563148,89.0
1948,1514223.602484472,90.0
1948,2018964.8033126297,91.0
1949,0.0,20.0
1949,20383.779264214045,22.0
1949,40767.55852842809,26.0
1949,61151.33779264214,30.0
1949,81535.11705685618,34.0
1949,101918.89632107022,38.0
1949,122302.67558528428,43.0
1949,142686.45484949832,47.0
1949,163070.23411371236,50.0
1949,183454.0133779264,53.0
1949,203837.79264214044,56.0
1949,224221.57190635448,59.0
1949,264989.13043478254,62.0
1949,326140.4682274247,65.0
1949,387291.80602006684,69.0
1949,448443.14381270896,72.0
1949,509594.48160535115,75.0
1949,611513.3779264214,78.0
1949,713432.2742474915,81.0
1949,815351.1705685618,84.0
1949,917270.066889632,87.0
1949,1019188.9632107023,89.0
1949,1528783.4448160531,90.0
1949,2038377.9264214046,91.0
1950,0.0,20.0
1950,20417.9229480737,22.0
1950,40835.8458961474,26.0
1950,61253.7688442211,30.0
1950,81671.6917922948,34.0
1950,102089.61474036852,38.0
1950,122507.5376884422,43.0
1950,142925.46063651593,47.0
1950,163343.3835845896,50.0
1950,183761.30653266332,53.0
1950,204179.22948073703,56.0
1950,224597.15242881072,59.0
1950,265432.9983249581,62.0
1950,326686.7671691792,65.0
1950,387940.53601340036,69.0
1950,449194.30485762144,72.0
1950,510448.0737018426,75.0
1950,612537.6884422111,78.0
1950,714627.3031825796,81.0
1950,816716.9179229481,84.0
1950,918806.5326633166,87.0
1950,1020896.1474036851,89.0
1950,1531344.2211055278,90.0
1950,2041792.2948073703,91.0
1951,0.0,20.4
1951,18803.70227535673,22.4
1951,37607.40455071346,27.0
1951,56411.10682607019,30.0
1951,75214.80910142692,35.0
1951,94018.51137678364,39.0
1951,112822.21365214037,43.0
1951,131625.91592749712,48.0
1951,150429.61820285383,51.0
1951,169233.32047821057,54.0
1951,188037.0227535673,57.0
1951,206840.725028924,60.0
1951,244448.1295796375,63.0
1951,300859.23640570766,66.0
1951,357270.34323177784,69.0
1951,413681.450057848,73.0
1951,470092.55688391824,75.0
1951,564111.0682607018,78.0
1951,658129.5796374856,82.0
1951,752148.0910142692,84.0
1951,846166.6023910529,87.0
1951,940185.1137678365,89.0
1951,1410277.6706517548,90.0
1951,1880370.227535673,91.0
1952,0.0,22.2
1952,18378.439502450055,24.6
1952,36756.87900490011,29.0
1952,55135.318507350166,34.0
1952,73513.75800980022,38.0
1952,91892.19751225028,42.0
1952,110270.63701470033,48.0
1952,128649.07651715037,53.0
1952,147027.51601960044,56.0
1952,165405.9555220505,59.0
1952,183784.39502450055,62.0
1952,202162.8345269506,66.0
1952,238919.71353185072,67.0
1952,294055.0320392009,68.0
1952,349190.350546551,72.0
1952,404325.6690539012,75.0
1952,459460.9875612514,77.0
1952,551353.1850735017,80.0
1952,643245.3825857519,83.0
1952,735137.5800980022,85.0
1952,827029.7776102525,88.0
1952,918921.9751225028,90.0
1952,1378382.9626837543,91.0
1952,1837843.9502450055,92.0
1953,0.0,22.2
1953,18213.672020918937,24.6
1953,36427.344041837874,29.0
1953,54641.01606275682,34.0
1953,72854.68808367575,38.0
1953,91068.3601045947,42.0
1953,109282.03212551364,48.0
1953,127495.70414643257,53.0
1953,145709.3761673515,56.0
1953,163923.04818827045,59.0
1953,182136.7202091894,62.0
1953,200350.39223010832,66.0
1953,236777.7362719462,67.0
1953,291418.752334703,68.0
1953,346059.7683974598,72.0
1953,400700.78446021664,75.0
1953,455341.80052297347,77.0
1953,546410.1606275681,80.0
1953,637478.5207321629,83.0
1953,728546.8808367576,85.0
1953,819615.2409413522,88.0
1953,910683.6010459469,90.0
1953,1366025.4015689204,91.0
1953,1821367.2020918939,92.0
1954,0.0,20.0
1954,18098.737936154415,22.0
1954,36197.47587230883,26.0
1954,54296.213808463246,30.0
1954,72394.95174461766,34.0
1954,90493.68968077208,38.0
1954,108592.42761692649,43.0
1954,126691.16555308092,47.0
1954,144789.90348923532,50.0
1954,162888.64142538974,53.0
1954,180987.37936154415,56.0
1954,199086.1172976986,59.0
1954,235283.5931700074,62.0
1954,289579.80697847065,65.0
1954,343876.0207869339,69.0
1954,398172.2345953972,72.0
1954,452468.4484038604,75.0
1954,542962.1380846325,78.0
1954,633455.8277654045,81.0
1954,723949.5174461766,84.0
1954,814443.2071269486,87.0
1954,904936.8968077208,89.0
1954,1357405.345211581,90.0
1954,1809873.7936154415,91.0
1955,0.0,20.0
1955,36509.17259453388,22.0
1955,73018.34518906775,26.0
1955,109527.51778360165,30.0
1955,146036.6903781355,34.0
1955,182545.8629726694,38.0
1955,219055.0355672033,43.0
1955,255564.20816173716,47.0
1955,292073.380756271,50.0
1955,328582.55335080496,53.0
1955,365091.7259453388,56.0
1955,401600.89853987267,59.0
1955,474619.24372894043,62.0
1955,584146.761512542,65.0
1955,693674.2792961437,69.0
1955,803201.7970797453,72.0
1955,912729.314863347,75.0
1955,1095275.1778360165,78.0
1955,1277821.0408086858,81.0
1955,1460366.9037813551,84.0
1955,1642912.7667540247,87.0
1955,1825458.629726694,89.0
1955,2738187.944590041,90.0
1955,3650917.259453388,91.0
1956,0.0,20.0
1956,35917.495395948434,22.0
1956,71834.99079189687,26.0
1956,107752.48618784531,30.0
1956,143669.98158379373,34.0
1956,179587.47697974218,38.0
1956,215504.97237569062,43.0
1956,251422.46777163906,47.0
1956,287339.96316758747,50.0
1956,323257.4585635359,53.0
1956,359174.95395948435,56.0
1956,395092.44935543276,59.0
1956,466927.4401473297,62.0
1956,574679.9263351749,65.0
1956,682432.4125230203,69.0
1956,790184.8987108655,72.0
1956,897937.3848987109,75.0
1956,1077524.861878453,78.0
1956,1257112.3388581953,81.0
1956,1436699.8158379374,84.0
1956,1616287.2928176797,87.0
1956,1795874.7697974218,89.0
1956,2693812.1546961325,90.0
1956,3591749.5395948435,91.0
1957,0.0,20.0
1957,34690.85734614016,22.0
1957,69381.71469228032,26.0
1957,104072.57203842048,30.0
1957,138763.42938456064,34.0
1957,173454.2867307008,38.0
1957,208145.14407684095,43.0
1957,242836.00142298115,47.0
1957,277526.8587691213,50.0
1957,312217.7161152615,53.0
1957,346908.5734614016,56.0
1957,381599.4308075418,59.0
1957,450981.1454998221,62.0
1957,555053.7175382426,65.0
1957,659126.289576663,69.0
1957,763198.8616150836,72.0
1957,867271.4336535041,75.0
1957,1040725.720384205,78.0
1957,1214180.0071149056,81.0
1957,1387634.2938456065,84.0
1957,1561088.5805763074,87.0
1957,1734542.8673070082,89.0
1957,2601814.3009605124,90.0
1957,3469085.7346140165,91.0
1958,0.0,20.0
1958,33730.888965755796,22.0
1958,67461.77793151159,26.0
1958,101192.66689726738,30.0
1958,134923.55586302318,34.0
1958,168654.44482877894,38.0
1958,202385.33379453476,43.0
1958,236116.22276029055,47.0
1958,269847.11172604637,50.0
1958,303578.0006918021,53.0
1958,337308.8896575579,56.0
1958,371039.7786233137,59.0
1958,438501.5565548253,62.0
1958,539694.2234520927,65.0
1958,640886.8903493601,69.0
1958,742079.5572466274,72.0
1958,843272.2241438949,75.0
1958,1011926.6689726738,78.0
1958,1180581.1138014528,81.0
1958,1349235.5586302315,84.0
1958,1517890.0034590107,87.0
1958,1686544.4482877897,89.0
1958,2529816.6724316846,90.0
1958,3373088.8965755794,91.0
1959,0.0,20.0
1959,33499.14118859498,22.0
1959,66998.28237718996,26.0
1959,100497.42356578495,30.0
1959,133996.5647543799,34.0
1959,167495.70594297492,38.0
1959,200994.8471315699,43.0
1959,234493.98832016488,47.0
1959,267993.1295087598,50.0
1959,301492.27069735486,53.0
1959,334991.41188594984,56.0
1959,368490.5530745448,59.0
1959,435488.8354517348,62.0
1959,535986.2590175197,65.0
1959,636483.6825833047,69.0
1959,736981.1061490896,72.0
1959,837478.5297148746,75.0
1959,1004974.2356578495,78.0
1959,1172469.9416008245,81.0
1959,1339965.6475437994,84.0
1959,1507461.3534867743,87.0
1959,1674957.0594297491,89.0
1959,2512435.589144624,90.0
1959,3349914.1188594983,91.0
1960,0.0,20.0
1960,32933.46842283012,22.0
1960,65866.93684566024,26.0
1960,98800.40526849037,30.0
1960,131733.87369132048,34.0
1960,164667.3421141506,38.0
1960,197600.81053698075,43.0
1960,230534.27895981088,47.0
1960,263467.74738264096,50.0
1960,296401.2158054711,53.0
1960,329334.6842283012,56.0
1960,362268.1526511313,59.0
1960,428135.0894967916,62.0
1960,526935.4947652819,65.0
1960,625735.9000337723,69.0
1960,724536.3053022627,72.0
1960,823336.7105707532,75.0
1960,988004.0526849037,78.0
1960,1152671.3947990544,81.0
1960,1317338.736913205,84.0
1960,1482006.0790273556,87.0
1960,1646673.4211415064,89.0
1960,2470010.1317122593,90.0
1960,3293346.842283013,91.0
1961,0.0,20.0
1961,32679.624664879353,22.0
1961,65359.249329758706,26.0
1961,98038.87399463807,30.0
1961,130718.49865951741,34.0
1961,163398.1233243968,38.0
1961,196077.74798927613,43.0
1961,228757.37265415548,47.0
1961,261436.99731903482,50.0
1961,294116.6219839142,53.0
1961,326796.2466487936,56.0
1961,359475.8713136729,59.0
1961,424835.12064343167,62.0
1961,522873.99463806965,65.0
1961,620912.8686327077,69.0
1961,718951.7426273458,72.0
1961,816990.6166219838,75.0
1961,980388.7399463807,78.0
1961,1143786.8632707775,81.0
1961,1307184.9865951743,84.0
1961,1470583.1099195709,87.0
1961,1633981.2332439676,89.0
1961,2450971.849865952,90.0
1961,3267962.4664879353,91.0
1962,0.0,20.0
1962,32279.377689506786,22.0
1962,64558.75537901357,26.0
1962,96838.13306852034,30.0
1962,129117.51075802714,34.0
1962,161396.88844753391,38.0
1962,193676.2661370407,43.0
1962,225955.6438265475,47.0
1962,258235.0215160543,50.0
1962,290514.3992055611,53.0
1962,322793.77689506783,56.0
1962,355073.15458457463,59.0
1962,419631.9099635882,62.0
1962,516470.0430321086,65.0
1962,613308.1761006288,69.0
1962,710146.3091691493,72.0
1962,806984.4422376696,75.0
1962,968381.3306852034,78.0
1962,1129778.2191327375,81.0
1962,1291175.1075802713,84.0
1962,1452571.9960278051,87.0
1962,1613968.8844753392,89.0
1962,2420953.326713009,90.0
1962,3227937.7689506784,91.0
1963,0.0,20.0
1963,31857.562887945114,22.0
1963,63715.12577589023,26.0
1963,95572.68866383535,30.0
1963,127430.25155178046,34.0
1963,159287.81443972557,38.0
1963,191145.3773276707,43.0
1963,223002.9402156158,47.0
1963,254860.5031035609,50.0
1963,286718.06599150604,53.0
1963,318575.62887945113,56.0
1963,350433.19176739623,59.0
1963,414148.3175432865,62.0
1963,509721.0062071218,65.0
1963,605293.6948709572,69.0
1963,700866.3835347925,72.0
1963,796439.0721986279,75.0
1963,955726.8866383535,78.0
1963,1115014.701078079,81.0
1963,1274302.5155178045,84.0
1963,1433590.3299575304,87.0
1963,1592878.1443972557,89.0
1963,2389317.216595884,90.0
1963,3185756.2887945115,91.0
1964,0.0,16.0
1964,7861.657529829087,16.5
1964,15723.315059658175,17.5
1964,23584.97258948726,18.0
1964,31446.63011931635,20.0
1964,62893.2602386327,23.5
1964,94339.89035794904,27.0
1964,125786.5204772654,30.5
1964,157233.15059658172,34.0
1964,188679.7807158981,37.5
1964,220126.41083521445,41.0
1964,251573.0409545308,44.5
1964,283019.6710738471,47.5
1964,314466.30119316344,50.5
1964,345912.93131247984,53.5
1964,408806.1915511125,56.0
1964,503146.0819090616,58.5
1964,597485.9722670106,61.0
1964,691825.8626249597,63.5
1964,786165.7529829086,66.0
1964,943398.9035794904,68.5
1964,1100632.0541760721,71.0
1964,1257865.2047726538,73.5
1964,1415098.3553692356,75.0
1964,1572331.5059658173,76.5
1964,3144663.0119316345,77.0
1965,0.0,14.0
1965,7712.432774438469,15.0
1965,15424.865548876938,16.0
1965,23137.29832331541,17.0
1965,30849.731097753876,19.0
1965,61699.46219550775,22.0
1965,92549.19329326163,25.0
1965,123398.9243910155,28.0
1965,154248.65548876938,32.0
1965,185098.38658652327,36.0
1965,215948.11768427712,39.0
1965,246797.848782031,42.0
1965,277647.57987978484,45.0
1965,308497.31097753876,48.0
1965,339347.0420752926,50.0
1965,401046.5042708004,53.0
1965,493595.697564062,55.0
1965,586144.8908573235,58.0
1965,678694.0841505852,60.0
1965,771243.2774438469,62.0
1965,925491.9329326162,64.0
1965,1079740.5884213855,66.0
1965,1233989.243910155,68.0
1965,1388237.8993989243,69.0
1965,1542486.5548876938,70.0
1966,0.0,14.0
1966,7529.030265596047,15.0
1966,15058.060531192094,16.0
1966,22587.09079678814,17.0
1966,30116.121062384187,19.0
1966,60232.242124768374,22.0
1966,90348.36318715256,25.0
1966,120464.48424953675,28.0
1966,150580.6053119209,32.0
1966,180696.72637430512,36.0
1966,210812.8474366893,39.0
1966,240928.9684990735,42.0
1966,271045.0895614577,45.0
1966,301161.2106238418,48.0
1966,331277.331686226,50.0
1966,391509.5738109944,53.0
1966,481857.936998147,55.0
1966,572206.3001852995,58.0
1966,662554.663372452,60.0
1966,752903.0265596047,62.0
1966,903483.6318715255,64.0
1966,1054064.2371834465,66.0
1966,1204644.8424953672,68.0
1966,1355225.4478072883,69.0
1966,1505806.0531192094,70.0
1967,0.0,14.0
1967,7321.021021021022,15.0
1967,14642.042042042043,16.0
1967,21963.063063063066,17.0
1967,29284.084084084086,19.0
1967,58568.16816816817,22.0
1967,87852.25225225226,25.0
1967,117136.33633633635,28.0
1967,146420.4204204204,32.0
1967,175704.50450450453,36.0
1967,204988.58858858858,39.0
1967,234272.6726726727,42.0
1967,263556.7567567568,45.0
1967,292840.8408408408,48.0
1967,322124.9249249249,50.0
1967,380693.09309309314,53.0
1967,468545.3453453454,55.0
1967,556397.5975975976,58.0
1967,644249.8498498498,60.0
1967,732102.1021021021,62.0
1967,878522.5225225226,64.0
1967,1024942.9429429431,66.0
1967,1171363.3633633633,68.0
1967,1317783.783783784,69.0
1967,1464204.2042042043,70.0
1968,0.0,14.0
1968,7025.64841498559,15.0
1968,14051.29682997118,16.0
1968,21076.945244956773,17.0
1968,28102.59365994236,19.0
1968,56205.18731988472,22.0
1968,84307.78097982709,25.0
1968,112410.37463976943,28.0
1968,140512.9682997118,32.0
1968,168615.56195965418,36.0
1968,196718.1556195965,39.0
1968,224820.74927953887,42.0
1968,252923.34293948126,45.0
1968,281025.9365994236,48.0
1968,309128.530259366,50.0
